,Range,Names,Country,Performances,Null,Nb,City,Date,Year,Sex
0,1 ,John Clausen,USA ,13.907,hsj,1,Melrose,Sep 18,1891,M
1,2 ,J.P. Watson,CAN ,13.577,,1,Jone's Wood,Sep 3,1891,M
2,3 ,M.J. Shanahan,IRL ,13.538,,1,Durrow,Jul 22,1891,M
3,4 ,G. Brown,USA ,13.475,,2,Jone's Wood,Sep 3,1891,M
4,5 ,William H. Henderson,USA ,13.437,,3,Jone's Wood,Sep 3,1891,M
5,6 ,William McPherson,AUS ,13.411,,1,Sydney,Oct 5,1891,M
6,7 ,R. Curtis,IRL ,13.310,,1,Swords,Aug 29,1891,M
7,8 ,W.A. Fletcher,IRL ,13.259,,1,Castlecomer,,1891,M
8,9 ,J.M. McKay,CAN ,13.17,hsj,1,Catharines,Aug 10,1891,M
9,10 ,W. Stammwitz,GER ,13.10,,1,Minneapolis,,1891,M
10,11 ,D.P. McCall,CAN ,13.08,hsj,1,Toronto,Oct 30,1891,M
11,11 ,C. Dreyer,GER ,13.08,,2,Brooklyn,,1891,M
12,13 ,J.J. Burke,IRL ,13.05,,1,Connaught,Aug 01,1891,M
13,14 , Forbes,CAN ,12.94,hsj,2,Toronto,,1891,M
14,15 ,D. Dean,IRL ,12.64,,1,Kilkenny,Aug 22,1891,M
15,16 ,M. Connolly,IRL ,12.52,,1,Howth,Jun 27,1891,M
16,17 ,F.C. Chittick,CAN ,12.44,hsj,2,Catharines,Aug 10,1891,M
17,18 ,B. Armstrong,CAN ,12.24,hsj,1,Toronto,Sep 30,1891,M
18,19 ,N. Quinn,IRL ,12.21,,2,Dublin,Jul 05,1891,M
19,20 ,John Cahill,IRL ,12.14,,2,Castlecomer,Sep 28,1891,M
20,21 ,J. Rohm,GER ,12.12,,1,Indianapolis,Jun 23,1891,M
21,22 ,A. Macdonald,CAN ,12.09,hsj,2,Toronto,Jul 18,1891,M
22,23 , McKent,CAN ,12.04,hsj,2,Toronto,Sep 30,1891,M
23,24 ,W. Patterson,CAN ,11.94,hsj,3,Toronto,Jul 18,1891,M
24,24 ,W. Lange,GER ,11.94,,2,Indianapolis,Jun 23,1891,M
25,1 ,Thomas Kiely,IRL ,15.113,hsj,1,Dublin,Sep 10,1892,M
26,2 ,Daniel Shanahan,IRL ,14.961,,2,Dublin,Sep 10,1892,M
27,3 ,Patrick J. O'Sullivan,IRL ,14.630,,1,Tralee,Jun 8,1892,M
28,4 ,Eugene W. Goff,USA ,14.351,,1,New York,Sep 17,1892,M
29,5 ,Thomas O'Connell,IRL ,14.326,,3,Dublin,Sep 10,1892,M
30,6 ,J.B. McKenna,USA ,14.249,,1,Jone's Wood,Sep 5,1892,M
31,7 ,J. Lehane,IRL ,14.021,,1,Dublin,Oct 1,1892,M
32,8 ,Dennis Horgan,IRL ,13.704,,2,Tralee,Jun 8,1892,M
33,9 ,J.P. Watson,CAN ,13.513,,3,Jone's Wood,Sep 1,1892,M
34,10 ,J.E. O'Grady,USA ,13.437,,2,Jone's Wood,Jul 4,1892,M
35,11 ,R. Curtis,IRL ,13.42,,2,Dublin,Nov 01,1892,M
36,12 ,W.F. Scott,IRL ,13.36,,1,Donore,Oct 16,1892,M
37,13 ,Robert Lyons,USA ,13.35,,2,New York,Sep 17,1892,M
38,14 ,P.M. O'Neill,IRL ,13.10,,3,Tralee,Jun 08,1892,M
39,15 ,J. Howrahane,IRL ,13.08,,3,Dublin,Oct 01,1892,M
40,16 ,Denis J. Power,IRL ,13.05,,2,Ballyragget,Aug 28,1892,M
41,17 ,C.A. Gunn,USA ,13.03,hsj,1,Champaign,May 13,1892,M
42,17 ,M. Connolly,IRL ,13.03,,1,Dublin,Aug 28,1892,M
43,19 ,John Jesus Flanagan,IRL ,13.00,,1,Dublin,Aug 28,1892,M
44,20 ,J. Hanrihan,IRL ,12.87,,2,Maryborough,Jul 26,1892,M
45,21 ,J Meade,IRL ,12.80,,4,Dublin,Sep 10,1892,M
46,22 ,N McQuinn,IRL ,12.73,,-,Durrow,Jul 27,1892,M
47,23 ,A.W. Langford,CAN ,12.70,,1,Montreal,Oct 27,1892,M
48,24 ,J. Deens,IRL ,12.50,,5,Dublin,Sep 10,1892,M
49,24 ,B. Keenan,IRL ,12.50,,2,Donore,Oct 16,1892,M
50,1 ,W. McKee,GBR ,14.88,,1,Blackford,Aug 12,1893,M
51,2 ,Edward Bloss,USA ,14.783,hsj,1,Chicago,Sep 16,1893,M
52,3 ,Thomas Kiely,IRL ,14.471,,1,Durrow,Jul 26,1893,M
53,4 ,Matthew Roseingrave,IRL ,14.376,,1,Miltonmalbay,Aug 29,1893,M
54,5 ,F.P. Archer,IRL ,14.199,,2,Durrow,Jul 26,1893,M
55,6 ,Charles Reber,USA ,14.02,hsj,2,Chicago,Sep 16,1893,M
56,7 ,J. Glynn,IRL ,13.995,,2,Miltonmalbay,Sep 28,1893,M
57,8 ,M. Killowry,USA ,13.958,,2,Worcester (US),Sep 2,1893,M
58,9 ,Thomas O'Connell,IRL ,13.894,,2,Dublin,Sep 16,1893,M
59,9 ,Eugene W. Goff,USA ,13.894,,1,Travers Island,Sep 30,1893,M
60,11 ,J. O'Neill,CAN ,13.818,,1,Glencoe,Aug 17,1893,M
61,12 ,Denis Carey,IRL ,13.77,,1,Salford,Jul 15,1893,M
62,13 ,Robert Lyons,USA ,13.71,hsj,3,Chicago,Sep 16,1893,M
63,14 ,G. Brown,USA ,13.70,hsj,3,Jone's Wood,Sep 08,1893,M
64,15 ,F. McGrath,USA ,13.69,,3,Worcester (USA),Sep 02,1893,M
65,15 ,W.F. Scott,IRL ,13.69,,3,Dublin,Sep 16,1893,M
66,17 ,E.J. Walsh,IRL ,13.66,,2,Mitcheltown,Jul 18,1893,M
67,18 ,J. Lehane,IRL ,13.59,,4,Dublin,Sep 16,1893,M
68,19 ,Lewis Sheldon,USA ,13.55,,2,Travers Island,Sep 30,1893,M
69,20 ,J.E. O'Grady,USA ,13.51,,1,New York,Jul 04,1893,M
70,21 ,G. Boyles,USA ,13.28,,2,New York,Jul 04,1893,M
71,22 ,J. Donovan,CAN ,13.18,,2,Glencoe,Aug 17,1893,M
72,23 ,N. McQuinn,IRL ,13.08,,3,Durrow,Jul 26,1893,M
73,24 ,C. Mahoney,IRL ,12.95,,1,Dublin,Jul 18,1893,M
74,25 ,D.P. O'Sullivan,USA ,12.85,,1=,New York,Oct 06,1893,M
75,25 ,T. Slattery,USA ,12.85,,1=,New York,Oct 06,1893,M
76,1 ,Thomas T. Connell,IRL ,14.75,,1,Castlerea,Sep 04,1894,M
77,2 ,Matthew Roseingrave,IRL ,14.65,,,,,1894,M
78,3 ,Thomas Kiely,IRL ,14.580,,1,Banteer,May 29,1894,M
79,4 ,Thomas O'Connell,IRL ,14.148,,1,Castlarock,Sep 5,1894,M
80,5 ,H. Evans,IRL ,14.021,,2,Castlarock,Sep 5,1894,M
81,6 ,W. Bucklin,USA ,13.919,,1,New York,Sep 6,1894,M
82,7 ,Denis Carey,IRL ,13.89,,1,,,1894,M
83,8 ,Timothy J. Ahearne,IRL ,13.614,,2,Banteer,May 29,1894,M
84,9 ,F. McGrath,USA ,13.564,,1,Worcester (US),May 23,1894,M
85,10 ,G. Brown,USA ,13.475,,2,New York,Sep 6,1894,M
86,11 ,M. Dolan,USA ,13.335,,3,New York,Sep 6,1894,M
87,12 ,J.S. McIntosh,GBR ,12.979,,1,Lucknow,Sep 5,1894,M
88,12 ,John Cahill,IRL ,12.979,,1,Brighton Beach,Sep 17,1894,M
89,14 ,T. Finn,IRL ,12.95,,1,Kilmallock,Sep 29,1894,M
90,15 ,J.E. Lombard,USA ,12.62,,1,,,1894,M
91,16 ,J.S. Colon,USA ,12.57,,1,New York,Aug 04,1894,M
92,17 ,F. Moore,CAN ,12.42,,2,Lucknow,Sep 05,1894,M
93,18 ,J. Zernitz,GER ,12.32,,,,,1894,M
94,19 ,D.K. Smith,CAN ,12.26,,1,Kingston,Sep 30,1894,M
95,20 ,E.M. Tate,USA ,12.01,,2,New York,Aug 04,1894,M
96,21 ,W.F. Scott,IRL ,11.96,,3,Lucknow,Sep 05,1894,M
97,22 ,F. Schoeflin,USA ,11.88,,1,Newark,Aug 13,1894,M
98,23 ,J. Dennis,USA ,11.85,,3,Saragota,Jul 21,1894,M
99,24 ,M. Deschner,USA ,11.84,,1,Lake Erie,Sep,1894,M
100,25 ,C. Haldate,USA ,11.81,,2,Newark,Aug 13,1894,M
101,1 ,Tim Ryan,IRL ,14.770,,1,Maryborough,Aug 13,1895,M
102,2 ,Edward Bloss,USA ,14.326,hsj,1,Travers Island,Sep 28,1895,M
103,3 ,James M. Ryan,IRL ,14.275,,2,Maryborough,Aug 13,1895,M
104,4 ,Daniel Shanahan,IRL ,14.173,,2,Tipperary,Aug 19,1895,M
105,5 ,J.P. Watson,CAN ,14.122,,1,Philadelphia,Aug 12,1895,M
106,6 ,John Jesus Flanagan,IRL ,14.072,,3,Tipperary,Aug 19,1895,M
107,7 ,Matthew Roseingrave,IRL ,14.046,,2,Gort,Aug 15,1895,M
108,8 ,John Blackburn,IRL ,13.868,,5,Tipperary,Aug 19,1895,M
109,9 ,J. Gibson,GBR ,13.843,,1,Bridge of Allen,Aug 3,1895,M
110,10 ,Thomas W. Aitken,GBR ,13.828,,2,Bridge of Allen,Aug 3,1895,M
111,11 ,Denis Carey,IRL ,13.81,,6,Tipperary,Aug 19,1895,M
112,12 ,W. McKee,GBR ,13.79,,3,Bridge of Allen,Aug 03,1895,M
113,13 ,G. Brown,USA ,13.78,hsj,2,New York,Sep 02,1895,M
114,14 ,P. McNamara,IRL ,13.74,,1,Wetford,Aug 15,1895,M
115,15 ,Robert Lyons,USA ,13.71,,2,New York,Sep 28,1895,M
116,16 ,James M. Ryan,IRL ,13.61,,7,Tipperary,Aug 19,1895,M
117,17 ,C.L. Hickey,IRL ,13.59,,1,Fermoy,Aug 27,1895,M
118,18 ,T. O'Connor,IRL ,13.56,,3,Gort,Aug 15,1895,M
119,19 ,W. Marsh,USA ,13.55,hsj,3,Manhattan,Sep 02,1895,M
120,20 ,Thomas Kiely,IRL ,13.49,,1,Tralee,Jun 22,1895,M
121,21 ,T. Higgins,IRL ,13.44,,8,Tipperary,Aug 19,1895,M
122,22 ,Ellery H. Clark,USA ,12.88,hsj,3,Travers Island,Sep 28,1895,M
123,23 ,A.E. Kipp,CAN ,12.71,,1,Guelph,Jun 12,1895,M
124,24 ,Patrick Leahy,IRL ,12.52,,3,Kilmallock,Jun 29,1895,M
125,25 ,George Merchant,GBR ,12.50,,,Cragievar,,1895,M
126,1 ,Daniel Shanahan,IRL ,14.503,,1,Stamford Bridge,May 25,1896,M
127,2 ,Edward Bloss,USA ,14.402,,1,Weehawken,Jun 26,1896,M
128,3 ,James M. Ryan,IRL ,13.907,,1,Dublin,Oct 3,1896,M
129,4 ,Thomas E. Wood,IRL ,13.818,,2,Stamford Bridge,May 25,1896,M
130,5 ,James Connolly,USA ,13.792,hsj,1,Lawrence,Jun 27,1896,M
131,5 , Forrest,IRL ,13.792,,1,,Jul,1896,M
132,5 ,Matthew Roseingrave,IRL ,13.792,,1,Sydney,Nov 9,1896,M
133,8 ,Thomas Kiely,IRL ,13.741,,1,Tipperary,Sep 12,1896,M
134,9 ,J. Condon,USA ,13.360,,1,New York,Jul 4,1896,M
135,10 ,C.B. Hamilton,USA ,13.354,,1,(Iowa),May 29,1896,M
136,11 ,  Adcock,USA ,13.26,,,,,1896,M
137,12 ,Thomas F. Keane,USA ,13.18,,1,Brooklyn,Sep 06,1896,M
138,12 ,W.N. Sheehan,IRL ,13.18,,3,London,May 25,1896,M
139,14 ,  Miller,USA ,13.14,,1,(Iowa),May 23,1896,M
140,15 ,J. O'Neill,CAN ,13.08,,1,Brooklyn,Sep 06,1896,M
141,16 ,W. Marsh,USA ,13.03,,2,Brooklyn,Sep 06,1896,M
142,17 ,S.P. McMordie,CAN ,13.00,,1,Toronto,Oct 16,1896,M
143,18 ,L. Harris,CAN ,12.87,,2,Toronto,Oct 16,1896,M
144,19 ,J. Clark,USA ,12.82,,3,Brooklyn,Sep 06,1896,M
145,20 ,Alexandre Tufferi,FRA ,12.70,,2,Athens,Apr 06,1896,M
146,21 ,Ioannis Persakis,GRE ,12.57,,3,Athens,Apr 06,1896,M
147,22 ,Alajos Szokolyi,HUN ,12.48,,1,Budapest,Sep 09,1896,M
148,23 ,B.E. Velte,GER ,12.45,,-,Atlanta,Jun 08,1896,M
149,24 ,J. Robin,CAN ,12.44,,1,Toronto,Sep 23,1896,M
150,25 ,C.V. Bettis,USA ,12.39,,-,,,1896,M
151,1 ,Patrick Leahy,IRL ,14.173,,1,Mallow,Aug 3,1897,M
152,2 ,John Jesus Flanagan,IRL ,14.046,,1,,,1897,M
153,3 ,Thomas Kiely,IRL ,13.76,,1,,,1897,M
154,4 ,C.B. Hamilton,USA ,13.722,,1,Des Moines,May 28,1897,M
155,5 ,E. Deihl,USA ,13.450,,1,Cincinnati,,1897,M
156,6 ,H. McMillan,CAN ,13.335,,2,Toronto,Oct 22,1897,M
157,7 ,J.M. O'Mara,USA ,13.208,,1,New York,Sep 6,1897,M
158,8 ,Thomas F. Keane,USA ,13.198,,1,Brooklyn,Sep 6,1897,M
159,9 ,E.F. McKinney,USA ,13.189,,1,Brooklyn,Aug 5,1897,M
160,10 ,P. O'Dwyer,IRL ,13.106,,1,Tipperary,Jun 19,1897,M
161,10 ,W. Marsh,USA ,13.106,,2,Brooklyn,Sep 6,1897,M
162,10 , Cotter,USA ,13.106,,2,New York,Sep 6,1897,M
163,13 ,M. Brennan,IRL ,13.01,,1,London,Aug 12,1897,M
164,14 ,T. Slattery,USA ,12.91,,1,New York,Jul 24,1897,M
165,15 ,  Miner,USA ,12.77,,1,New York,Sep 11,1897,M
166,16 ,W.N. Sheehan,IRL ,12.76,,2,London,Aug 02,1897,M
167,17 ,F. Wells,USA ,12.75,,1,Hillsdale,Jun 05,1897,M
168,18 ,F. Strokark,GER ,12.70,,1,Davenport,Aug 29,1897,M
169,19 ,C.W. Svensson,USA ,12.67,,1,Williams Bay,Jul 24,1897,M
170,19 ,J. Maxheim,GER ,12.67,,1,Davenport,Aug 26,1897,M
171,21 ,Frank M. Friesell,USA ,12.60,,1,Saint Louis,May,1897,M
172,21 ,C. Wedell,USA ,12.60,,,Saint Louis,May,1897,M
173,23 ,J.P. Keville,IRL ,12.57,,1,Ferbane,May 24,1897,M
174,24 ,J. Monohan,IRL ,12.55,,2,Ferbane,Jun 24,1897,M
175,24 ,T.J. Graham,USA ,12.55,,2,Brooklyn,Aug 05,1897,M
176,1 ,Patrick Leahy,IRL ,14.806,,1,Cork,Aug 14,1898,M
177,2 ,Thomas Kiely,IRL ,14.681,,2,Cork,Aug 14,1898,M
178,3 ,Homer Holland,USA ,14.643,hsj,1,Des Moines,May 28,1898,M
179,4 ,Jerry J. O'Mahony,IRL ,14.630,,2,Millstreet,Sep 6,1898,M
180,5 ,Peter O'Connor,IRL ,13.970,,1,Ballinrobe,Aug 10,1898,M
181,6 ,John Jesus Flanagan,IRL ,13.487,,1,Ballaghaderin,Jun 27,1898,M
182,7 ,Michael Sweeney,USA ,13.481,,1,New York,Sep 6,1898,M
183,8 ,Cornelius Leahy,IRL ,13.386,,3,Cork,Aug 14,1898,M
184,9 ,G. Brown,USA ,13.259,,2,New York,Sep 6,1898,M
185,10 ,W. McKee,GBR ,13.132,,2,Glasgow,Jun 18,1898,M
186,11 ,T.H. Garde,IRL ,13.10,,1,Glenavon,Aug 06,1898,M
187,12 ,S. Wagner,USA ,12.97,,1,Long Island,Sep 04,1898,M
188,13 ,J. Condon,USA ,12.95,,1,New York,Aug 04,1898,M
189,14 ,Harry P. McDonald,USA ,12.92,,1,Laurel Hill,May 31,1898,M
190,15 ,J.J. Convay,IRL ,12.87,,2,Ballaghaderin,Jun 27,1898,M
191,16 ,C. O'Hanlon,IRL ,12.82,,2,Glenavon,Aug 06,1898,M
192,17 ,S.W. Johnson,USA ,12.69,,1,New York,Sep 18,1898,M
193,18 ,John Blackburn,IRL ,12.67,,2,New York,Aug 04,1898,M
194,18 ,Tibor Gajzágó,HUN ,12.67,,1,Budapest,Oct 08,1898,M
195,20 ,R. Schindler,GER ,12.66,,1,Berlin,Aug 14,1898,M
196,21 ,C. Henigan,IRL ,12.65,,2,Ballinrobe,Aug 10,1898,M
197,22 ,L. Harris,USA ,12.61,,3,New York,Sep 06,1898,M
198,23 ,J.S. Colon,USA ,12.59,,2,Laurel Hill,May 31,1898,M
199,24 ,O.E. Kake,GER ,12.57,,1,(Indiana),Jun 05,1898,M
200,25 , Gander,CAN ,12.48,,1,Kingston,Apr 28,1898,M
201,1 ,Peter O'Connor,IRL ,14.650,,1,Thurles,Sep 17,1899,M
202,1 ,Jerry J. O'Mahony,IRL ,14.650,,,,,1899,M
203,3 ,John Holloway,IRL ,13.360,,1,Skibbereen,Aug 23,1899,M
204,4 ,Michael Sweeney,USA ,13.246,,1,Brooklyn,Sep 24,1899,M
205,5 ,W. Bick,USA ,13.233,hsj,1,St. Louis,May 15,1899,M
206,6 ,M. Riedl,BOH ,13.10,,1,Prague,Sep 24,1899,M
207,7 ,W. Milius,USA ,13.081,hsj,2,St. Louis,May 15,1899,M
208,8 ,Cornelius Leahy,IRL ,13.039,,2,Skibbereen,Aug 23,1899,M
209,9 ,Frank A. Martin,USA ,13.005,,1,Elgin (IL),Jul 25,1899,M
210,10 ,Károly Sasse,HUN ,12.97,,1,Budapest,Sep 10,1899,M
211,11 ,J.J. Murphy,IRL ,12.954,,1,Macroom,Aug 12,1899,M
212,12 ,Arpád Dános,HUN ,12.86,,1,Wien,Oct 01,1899,M
213,12 ,Pál Koppán,HUN ,12.86,,1,Budapest,Oct 01,1899,M
214,14 ,G. Brown,USA ,12.84,,1,Brooklyn,Sep 04,1899,M
215,15 ,R. Schultze,GER ,12.70,,2,Chicago,Jul 25,1899,M
216,16 ,D. Robinson,CAN ,12.66,,1,Montréal,May 26,1899,M
217,17 ,M. Culver,CAN ,12.64,,2,Montréal,May 26,1899,M
218,18 ,F. Strokark,GER ,12.59,,1,Davenport,Aug 27,1899,M
219,19 ,W. Sinclair,CAN ,12.52,,1,Toronto,Oct 31,1899,M
220,20 ,W. Burkhart,USA ,12.51,,2,Brooklyn,Sep 04,1899,M
221,21 ,O. Richter,GER ,12.50,,2,Davenport,Aug 27,1899,M
222,22 ,R. Schlichting,GER ,12.40,,,Mönchen-Gladbach,,1899,M
223,23 ,J. Malone,USA ,12.36,,1,New York,Oct 08,1899,M
224,24 ,D. Coleman,CAN ,12.32,,1,Montréal,May 26,1899,M
225,25 ,P. Tanko,HUN ,12.31,,3,Budapest,Oct 01,1899,M
226,1 ,Patrick Leahy,GBR ,14.935,,1,Youghal,Jun 24,1900,M
227,2 ,James Connolly,USA ,14.681,,1,Boston,Aug 18,1900,M
228,3 ,Meyer Prinstein,USA ,14.47,hsj,1,Paris,Jul 16,1900,M
229,4 ,J. Flynn,IRL ,14.26,hhj,1,Kilmallock,Jun 29,1900,M
230,5 ,Thomas Kiely,IRL ,14.249,,1,Cashel,Aug 19,1900,M
231,6 ,Francis Connolly,USA ,14.212,,2,Boston,Aug 18,1900,M
232,7 ,T.J. Collins,IRL ,14.097,,2,Cashel,Aug 19,1900,M
233,8 ,Walter Carroll,IRL ,13.878,,1,Tipperary,Jun 21,1900,M
234,9 ,M. Brennan,IRL ,13.84,hhj,,,,1900,M
235,10 ,Cornelius Leahy,IRL ,13.792,,2,Kilmallock,Aug 19,1900,M
236,11 ,Lewis Sheldon,USA ,13.64,hsj,3,Paris,Jul 16,1900,M
237,12 ,L.A. Carpenter,USA ,13.564,,1,New York,Sep 3,1900,M
238,13 ,Michael D. Dineen,GBR ,13.56,,1,London,Jun 04,1900,M
239,14 ,P. John McCarthy,IRL ,13.51,,2,Dungarvan,Sep 13,1900,M
240,15 ,John Holloway,IRL ,13.49,,1,Tipperary,Jul 30,1900,M
241,16 ,J. O'Connor,IRL ,13.46,,2,Tipperary,Jul 30,1900,M
242,17 ,W. Benhard,USA ,13.23,,2,New York,Sep 03,1900,M
243,18 ,Thomas J. Sullivan,USA ,13.12,,1,Celtic Park,Jul 04,1900,M
244,18 ,S. McGrath,IRL ,13.12,,3,Kilcash,Sep 02,1900,M
245,20 ,Harry P. McDonald,USA ,13.00,,2,Celtic Park,Jul 04,1900,M
246,21 ,William Edwards,USA ,12.75,,3,Celtic Park,Jul 04,1900,M
247,22 ,M.J. Quinley,IRL ,12.72,,2,Tipperary,Jun 21,1900,M
248,22 ,P. Donndorf,GER ,12.72,,1,Frankfurt (Main),Sep 07,1900,M
249,22 ,H. Raedel,GER ,12.72,,1,Berlin,Sep 16,1900,M
250,25 ,Christen Seeberg,NOR ,12.68,,1,Kristiania,Sep 23,1900,M
251,1 ,Patrick Leahy,IRL ,15.15,hhj,1,Macroom,Aug 18,1901,M
252,2 ,Michael Creed,IRL ,14.14,hhj,1,Riverstown,Jul 22,1901,M
253,3 ,Cornelius Leahy,IRL ,14.12,hhj,2,Skibbereen,Aug 13,1901,M
254,4 ,James Connolly,USA ,13.79,,1,Boston,Jul 26,1901,M
255,5 ,A. Graham,USA ,13.76,,1,Ames,May 10,1901,M
256,6 ,Johannes Jensen,NOR ,13.43,,1,Kristiania,Jun 30,1901,M
257,7 ,Michael F. Sweeney,USA ,13.39,hsj,1,New York,Sep 02,1901,M
258,8 ,Haakon Blystad,NOR ,13.22,,1,Kristiania,Aug 11,1901,M
259,8 ,Béla Mezö,HUN ,13.22,,,,,1901,M
260,10 ,Arpád Dános,HUN ,13.05,,1,Prague,Sep 29,1901,M
261,11 ,Edvard Larsen,NOR ,12.94,ex,1,Kristiania,Jul 05,1901,M
262,12 ,Leif Widnæs,NOR ,12.74,,2,Göteborg,May 12,1901,M
263,13 ,Bohumil Pohl-Polewsky,BOH ,12.69,,,,,1901,M
264,14 ,Oskar Kolderup,NOR ,12.62,,3,Slependen,May 05,1901,M
265,15 ,W. Philbrick,USA ,12.57,hsj,1,San Francisco,May 30,1901,M
266,16 ,G. Clarke,NZL ,12.55,,1,,Mar 17,1901,M
267,16 ,Carl Holmberg,SWE ,12.55,,1,Malmö,Sep 01,1901,M
268,18 , Jennings,CAN ,12.50,,1,Toronto,Aug 18,1901,M
269,19 ,Daniel Robinson,CAN ,12.43,,1,Toronto,Aug 21,1901,M
270,20 ,Karl Laangman,NOR ,12.41,,1,Kristiania,Sep 21,1901,M
271,21 ,H. Hansen Bruun,NOR ,12.40,,1,Kristiania,Sep 08,1901,M
272,22 ,Oscar Rosell,SWE ,12.35,,2,Gävle,Jun 23,1901,M
273,23 ,Konrad Lindblom,SWE ,12.30,,,,,1901,M
274,24 ,Roy E. Cochran,USA ,12.28,hsj,2,San Francisco,May 30,1901,M
275,25 ,Oskar Svensson,SWE ,12.27,,1,Malmö,Jul 07,1901,M
276,1 ,Cornelius H. Leahy,IRL ,15.11,hhj,1,Ashford,,1902,M
277,2 ,J.J. Murphy,IRL ,14.63,hhj,1,Donoughmore,Jul 06,1902,M
278,3 ,D.J. Buckley,IRL ,14.48,hhj,-,Macroom,Aug 17,1902,M
279,4 ,Peter O'Connor,IRL ,14.45,hhj,1,Wexford,Aug 31,1902,M
280,5 ,Patrick Leahy,IRL ,14.37,hhj,1,Dungarvan,Sep 07,1902,M
281,6 ,Pat Teahan,IRL ,14.12,hhj,-,Killorglin,Aug 21,1902,M
282,6 ,Thomas Kiely,IRL ,14.12,hhj,3,Dungarvan,Sep 07,1902,M
283,8 ,M. Lerhy,IRL ,14.10,hhj,1,Tipperary,Aug 10,1902,M
284,9 ,T. O'Connor,IRL ,14.02,hhj,-,Milltown,Aug 15,1902,M
285,9 ,P.J. Ring,IRL ,14.02,hhj,-,Macroom,Aug 17,1902,M
286,11 ,Michael Creed,IRL ,13.98,hhj,2,Tipperary,Aug 10,1902,M
287,12 ,A. Graham,USA ,13.79,hsj,1,Des Moines,May 20,1902,M
288,13 ,P.H. Buck,NZL ,13.61,,ex,Dunedin,Dec 23,1902,M
289,14 ,Johannes Jensen,NOR ,13.45,,D,Kristiania,Sep 07,1902,M
290,15 ,Len McKay,NZL ,13.37,hsj,1,Dunedin,Jan 01,1902,M
291,16 ,Frans Frise,SWE ,13.33,,1Q,Jönköping,Aug 30,1902,M
292,17 ,Christen Seeberg,NOR ,13.23,,1,Kristiania,Jun 15,1902,M
293,18 ,Edvard Larsen,NOR ,13.15,,3,Kristiania,Jun 15,1902,M
294,18 ,Axel Benzon,DEN ,13.15,,Q,Kolding,Jul 27,1902,M
295,20 ,Bohumil Pohl-Polewsky,BOH ,13.05,,,,,1902,M
296,21 ,Ernst Pettersson,SWE ,13.02,,,Göteborg,,1902,M
297,22 ,Oscar Hatlen,NOR ,12.80,,1,Bergen,Aug 24,1902,M
298,23 ,H. Jansen,NOR ,12.79,,1,Kristiania,Jul 12,1902,M
299,24 ,Carl Holmberg,SWE ,12.78,,Q,"Kolding, DEN",Jul 27,1902,M
300,25 ,Victor Johansson,SWE ,12.75,,2,Jönköping,Aug 31,1902,M
301,1 ,Patrick Leahy,IRL ,14.48,hhj,1,Kilkenny,Oct 05,1903,M
302,2 ,John J. Breshnihan,IRL ,14.29,hsj,1,Newbridge,Sep 13,1903,M
303,3 ,Frederick Engelhardt,USA ,14.18,,1,New York,Sep 07,1903,M
304,4 ,John F. McEniry,IRL ,13.80,hsj,1,Queenstown,Sep 27,1903,M
305,5 ,E.L. Greene,USA ,13.73,,2,New York,Sep 07,1903,M
306,6 ,Thomas Kiely,IRL ,13.65,hsj,2,Queenstown,Sep 27,1903,M
307,7 ,Béla Mezö,HUN ,13.61,,1,Budapest,Oct 25,1903,M
308,8 ,Michael Creed,IRL ,13.40,hsj,1hcp,Limerick,Sep 27,1903,M
309,9 ,Edvard Larsen,NOR ,13.34,,1,Kristiania,Aug 30,1903,M
310,10 ,T. d'Arcy,USA ,13.30,,1,San Francisco,Jan 01,1903,M
311,11 ,J.J. Collins,IRL ,13.29,hsj,1hcp,Bruree,Sep 13,1903,M
312,12 ,Louis Mang,USA ,13.28,,3,New York,Sep 07,1903,M
313,13 ,Johannes Jensen,NOR ,13.24,,2,Kristiania,Aug 30,1903,M
314,14 ,Bohumil Pohl-Polewsky,BOH ,13.18,,,,,1903,M
315,15 ,Arpád Dános,HUN ,13.08,,2,Budapest,Oct 11,1903,M
316,16 ,Carl-Axel Pedersen,NOR ,13.05,,3,Kristiania,Aug 30,1903,M
317,17 ,Paul Weinstein,GER ,12.90,,1,Magdeburg,Jun 14,1903,M
318,18 ,Christen Seeberg,NOR ,12.83,,1,Kristiania,Sep 12,1903,M
319,19 ,Axel Benzon,DEN ,12.82,,1,Århus,Jul 5,1903,M
320,20 ,Gösta Malmgren,SWE ,12.81,,2,Århus,Jul 5,1903,M
321,20 ,Frans Frise,SWE ,12.81,,3,Göteborg,Sep 06,1903,M
322,22 ,Eric Lemming,SWE ,12.79,,4,Göteborg,Sep 06,1903,M
323,23 ,Victor Johansson,SWE ,12.78,,1,Stockholm,May 31,1903,M
324,24 ,H. Jansen,NOR ,12.74,,1,Kristiania,Sep 12,1903,M
325,25 ,Albert Eklund,NOR ,12.69,,1,Tønsberg,Sep 06,1903,M
326,1 ,John J. Breshnihan,IRL ,15.15,hhj,1,Dublin,Jul 31,1904,M
327,2 ,Cornelius Leahy,IRL ,15.01,hhj,2,Dublin,Jul 31,1904,M
328,3 ,Michael Creed,IRL ,14.81,hhj,2,Galbally,Sep 26,1904,M
329,4 ,Meyer W. Prinstein,USA ,14.40,,3hcp,New York,May 22,1904,M
330,5 ,Peter O'Connor,IRL ,14.27,hhj,1,Enniscorthy,Aug 28,1904,M
